        Time	          P1	          P2	           M	          Q1	          Q2	          D1	          D2	           B	         EP1	         EP2	          EM	          IC	         Tot	          pH	         fpH	       CO2aq	          O2	       fsalt	        frdx	
  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  6.2400e+00	  9.9792e-01	  2.8411e-05	  2.5532e-03	  1.0000e+00	  9.9917e-01	
  2.4000e+01	  4.0236e+00	  2.0007e+00	  1.0010e+01	  4.8495e-02	  1.0465e+00	  1.5889e-01	  2.9264e-01	  5.1654e-01	  1.3930e-04	  7.1913e-05	  1.0565e-04	  2.1728e-02	  1.8097e+01	  6.1676e+00	  9.9798e-01	  2.2057e-05	  2.5616e-03	  9.9998e-01	  9.9920e-01	
  4.8000e+01	  4.0241e+00	  2.0005e+00	  1.0010e+01	  4.8602e-02	  1.0479e+00	  1.5863e-01	  2.9259e-01	  5.1747e-01	  1.4213e-04	  7.3261e-05	  1.0775e-04	  2.2595e-02	  1.8100e+01	  6.1461e+00	  9.9697e-01	  2.2300e-05	  2.4275e-03	  9.9993e-01	  9.9877e-01	
  7.2000e+01	  4.0247e+00	  2.0002e+00	  1.0011e+01	  4.8656e-02	  1.0492e+00	  1.5842e-01	  2.9260e-01	  5.1840e-01	  1.4492e-04	  7.4582e-05	  1.0980e-04	  2.3462e-02	  1.8103e+01	  6.1360e+00	  9.9633e-01	  2.2597e-05	  2.2958e-03	  9.9984e-01	  9.9830e-01	
  9.6000e+01	  4.0252e+00	  1.9999e+00	  1.0011e+01	  4.8679e-02	  1.0505e+00	  1.5826e-01	  2.9266e-01	  5.1934e-01	  1.4765e-04	  7.5877e-05	  1.1181e-04	  2.4329e-02	  1.8106e+01	  6.1305e+00	  9.9593e-01	  2.2913e-05	  2.1662e-03	  9.9972e-01	  9.9779e-01	
  1.2000e+02	  4.0257e+00	  1.9996e+00	  1.0012e+01	  4.8685e-02	  1.0517e+00	  1.5812e-01	  2.9277e-01	  5.2027e-01	  1.5032e-04	  7.7146e-05	  1.1378e-04	  2.5197e-02	  1.8109e+01	  6.1274e+00	  9.9570e-01	  2.3240e-05	  2.0389e-03	  9.9957e-01	  9.9722e-01	
  1.4400e+02	  4.0263e+00	  1.9993e+00	  1.0012e+01	  4.8680e-02	  1.0529e+00	  1.5799e-01	  2.9292e-01	  5.2119e-01	  1.5294e-04	  7.8390e-05	  1.1571e-04	  2.6065e-02	  1.8112e+01	  6.1257e+00	  9.9556e-01	  2.3571e-05	  1.9136e-03	  9.9939e-01	  9.9658e-01	
  1.6800e+02	  4.0268e+00	  1.9990e+00	  1.0013e+01	  4.8671e-02	  1.0541e+00	  1.5788e-01	  2.9312e-01	  5.2212e-01	  1.5552e-04	  7.9609e-05	  1.1761e-04	  2.6934e-02	  1.8115e+01	  6.1248e+00	  9.9549e-01	  2.3906e-05	  1.7904e-03	  9.9917e-01	  9.9588e-01	
  1.9200e+02	  4.0273e+00	  1.9986e+00	  1.0014e+01	  4.8658e-02	  1.0553e+00	  1.5777e-01	  2.9335e-01	  5.2305e-01	  1.5804e-04	  8.0804e-05	  1.1946e-04	  2.7804e-02	  1.8118e+01	  6.1245e+00	  9.9547e-01	  2.4243e-05	  1.6693e-03	  9.9892e-01	  9.9508e-01	
  2.1600e+02	  4.0278e+00	  1.9983e+00	  1.0014e+01	  4.8644e-02	  1.0564e+00	  1.5767e-01	  2.9362e-01	  5.2397e-01	  1.6052e-04	  8.1976e-05	  1.2129e-04	  2.8674e-02	  1.8121e+01	  6.1247e+00	  9.9548e-01	  2.4581e-05	  1.5502e-03	  9.9863e-01	  9.9417e-01	
  2.4000e+02	  4.0283e+00	  1.9979e+00	  1.0015e+01	  4.8629e-02	  1.0574e+00	  1.5757e-01	  2.9391e-01	  5.2490e-01	  1.6294e-04	  8.3125e-05	  1.2307e-04	  2.9544e-02	  1.8124e+01	  6.1251e+00	  9.9552e-01	  2.4919e-05	  1.4332e-03	  9.9831e-01	  9.9314e-01	
  2.6400e+02	  4.0288e+00	  1.9975e+00	  1.0015e+01	  4.8614e-02	  1.0585e+00	  1.5748e-01	  2.9424e-01	  5.2582e-01	  1.6533e-04	  8.4251e-05	  1.2483e-04	  3.0415e-02	  1.8127e+01	  6.1257e+00	  9.9557e-01	  2.5259e-05	  1.3181e-03	  9.9795e-01	  9.9195e-01	
  2.8800e+02	  4.0293e+00	  1.9972e+00	  1.0016e+01	  4.8600e-02	  1.0595e+00	  1.5740e-01	  2.9459e-01	  5.2674e-01	  1.6766e-04	  8.5355e-05	  1.2655e-04	  3.1286e-02	  1.8130e+01	  6.1265e+00	  9.9563e-01	  2.5599e-05	  1.2051e-03	  9.9756e-01	  9.9056e-01	
  3.1200e+02	  4.0298e+00	  1.9968e+00	  1.0017e+01	  4.8586e-02	  1.0606e+00	  1.5732e-01	  2.9497e-01	  5.2766e-01	  1.6996e-04	  8.6438e-05	  1.2824e-04	  3.2157e-02	  1.8133e+01	  6.1274e+00	  9.9570e-01	  2.5939e-05	  1.0941e-03	  9.9713e-01	  9.8892e-01	
  3.3600e+02	  4.0303e+00	  1.9963e+00	  1.0017e+01	  4.8573e-02	  1.0615e+00	  1.5725e-01	  2.9537e-01	  5.2858e-01	  1.7221e-04	  8.7500e-05	  1.2989e-04	  3.3028e-02	  1.8136e+01	  6.1283e+00	  9.9577e-01	  2.6278e-05	  9.8509e-04	  9.9666e-01	  9.8696e-01	
  3.6000e+02	  4.0308e+00	  1.9959e+00	  1.0018e+01	  4.8561e-02	  1.0625e+00	  1.5718e-01	  2.9579e-01	  5.2949e-01	  1.7442e-04	  8.8542e-05	  1.3152e-04	  3.3898e-02	  1.8139e+01	  6.1293e+00	  9.9585e-01	  2.6618e-05	  8.7811e-04	  9.9615e-01	  9.8458e-01	
  3.8400e+02	  4.0313e+00	  1.9955e+00	  1.0019e+01	  4.8549e-02	  1.0635e+00	  1.5712e-01	  2.9622e-01	  5.3040e-01	  1.7659e-04	  8.9563e-05	  1.3311e-04	  3.4767e-02	  1.8142e+01	  6.1304e+00	  9.9593e-01	  2.6957e-05	  7.7319e-04	  9.9561e-01	  9.8161e-01	
  4.0800e+02	  4.0318e+00	  1.9951e+00	  1.0019e+01	  4.8539e-02	  1.0644e+00	  1.5707e-01	  2.9668e-01	  5.3130e-01	  1.7871e-04	  9.0565e-05	  1.3467e-04	  3.5635e-02	  1.8145e+01	  6.1315e+00	  9.9601e-01	  2.7296e-05	  6.7037e-04	  9.9503e-01	  9.7783e-01	
  4.3200e+02	  4.0323e+00	  1.9946e+00	  1.0020e+01	  4.8530e-02	  1.0654e+00	  1.5703e-01	  2.9715e-01	  5.3219e-01	  1.8080e-04	  9.1548e-05	  1.3621e-04	  3.6500e-02	  1.8147e+01	  6.1326e+00	  9.9609e-01	  2.7633e-05	  5.6970e-04	  9.9441e-01	  9.7285e-01	
  4.5600e+02	  4.0327e+00	  1.9942e+00	  1.0021e+01	  4.8522e-02	  1.0663e+00	  1.5701e-01	  2.9763e-01	  5.3307e-01	  1.8285e-04	  9.2511e-05	  1.3771e-04	  3.7361e-02	  1.8150e+01	  6.1337e+00	  9.9616e-01	  2.7969e-05	  4.7131e-04	  9.9375e-01	  9.6601e-01	
  4.8000e+02	  4.0332e+00	  1.9937e+00	  1.0022e+01	  4.8517e-02	  1.0672e+00	  1.5700e-01	  2.9813e-01	  5.3394e-01	  1.8487e-04	  9.3457e-05	  1.3919e-04	  3.8216e-02	  1.8153e+01	  6.1348e+00	  9.9624e-01	  2.8303e-05	  3.7538e-04	  9.9305e-01	  9.5606e-01	
  5.0400e+02	  4.0337e+00	  1.9932e+00	  1.0022e+01	  4.8513e-02	  1.0681e+00	  1.5702e-01	  2.9865e-01	  5.3479e-01	  1.8684e-04	  9.4384e-05	  1.4064e-04	  3.9061e-02	  1.8156e+01	  6.1359e+00	  9.9632e-01	  2.8633e-05	  2.8228e-04	  9.9233e-01	  9.4037e-01	
