        Time	          P1	          P2	           M	          Q1	          Q2	          D1	          D2	           B	         EP1	         EP2	          EM	          IC	         Tot	          pH	         fpH	       CO2aq	          O2	       fsalt	        frdx	
  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  6.0100e+00	  9.7968e-01	  2.2270e-05	  2.5531e-03	  1.0000e+00	  9.9917e-01	
  2.4000e+01	  4.1030e+00	  1.8978e+00	  1.0128e+01	  5.7152e-02	  1.1758e+00	  2.2379e-01	  3.9201e-01	  5.8835e-01	  2.9027e-04	  1.3706e-04	  2.1390e-04	  1.2637e-01	  1.8567e+01	  5.9067e+00	  9.5453e-01	  1.6379e-05	  2.5121e-03	  9.9996e-01	  9.9905e-01	
  4.8000e+01	  4.1033e+00	  1.8970e+00	  1.0129e+01	  5.7205e-02	  1.1766e+00	  2.2313e-01	  3.9263e-01	  5.8976e-01	  2.9055e-04	  1.3712e-04	  2.1406e-04	  1.2754e-01	  1.8569e+01	  5.8817e+00	  9.4700e-01	  1.6712e-05	  2.3328e-03	  9.9987e-01	  9.9844e-01	
  7.2000e+01	  4.1035e+00	  1.8962e+00	  1.0130e+01	  5.7206e-02	  1.1774e+00	  2.2255e-01	  3.9326e-01	  5.9116e-01	  2.9084e-04	  1.3719e-04	  2.1424e-04	  1.2870e-01	  1.8572e+01	  5.8705e+00	  9.4343e-01	  1.7082e-05	  2.1584e-03	  9.9971e-01	  9.9775e-01	
  9.6000e+01	  4.1038e+00	  1.8954e+00	  1.0131e+01	  5.7180e-02	  1.1782e+00	  2.2199e-01	  3.9390e-01	  5.9255e-01	  2.9114e-04	  1.3726e-04	  2.1442e-04	  1.2987e-01	  1.8575e+01	  5.8647e+00	  9.4152e-01	  1.7465e-05	  1.9883e-03	  9.9950e-01	  9.9697e-01	
  1.2000e+02	  4.1040e+00	  1.8946e+00	  1.0132e+01	  5.7139e-02	  1.1790e+00	  2.2146e-01	  3.9455e-01	  5.9393e-01	  2.9146e-04	  1.3734e-04	  2.1461e-04	  1.3103e-01	  1.8577e+01	  5.8614e+00	  9.4046e-01	  1.7854e-05	  1.8222e-03	  9.9923e-01	  9.9607e-01	
  1.4400e+02	  4.1043e+00	  1.8938e+00	  1.0133e+01	  5.7091e-02	  1.1797e+00	  2.2094e-01	  3.9520e-01	  5.9531e-01	  2.9178e-04	  1.3742e-04	  2.1481e-04	  1.3219e-01	  1.8580e+01	  5.8598e+00	  9.3991e-01	  1.8245e-05	  1.6599e-03	  9.9889e-01	  9.9501e-01	
  1.6800e+02	  4.1045e+00	  1.8930e+00	  1.0134e+01	  5.7040e-02	  1.1805e+00	  2.2043e-01	  3.9586e-01	  5.9668e-01	  2.9212e-04	  1.3751e-04	  2.1502e-04	  1.3335e-01	  1.8583e+01	  5.8590e+00	  9.3966e-01	  1.8637e-05	  1.5015e-03	  9.9850e-01	  9.9376e-01	
  1.9200e+02	  4.1048e+00	  1.8922e+00	  1.0135e+01	  5.6986e-02	  1.1812e+00	  2.1992e-01	  3.9652e-01	  5.9805e-01	  2.9246e-04	  1.3760e-04	  2.1523e-04	  1.3452e-01	  1.8585e+01	  5.8589e+00	  9.3963e-01	  1.9030e-05	  1.3467e-03	  9.9804e-01	  9.9226e-01	
  2.1600e+02	  4.1050e+00	  1.8914e+00	  1.0136e+01	  5.6931e-02	  1.1820e+00	  2.1942e-01	  3.9719e-01	  5.9942e-01	  2.9282e-04	  1.3770e-04	  2.1545e-04	  1.3568e-01	  1.8588e+01	  5.8592e+00	  9.3973e-01	  1.9423e-05	  1.1956e-03	  9.9752e-01	  9.9043e-01	
  2.4000e+02	  4.1053e+00	  1.8906e+00	  1.0137e+01	  5.6876e-02	  1.1827e+00	  2.1892e-01	  3.9786e-01	  6.0078e-01	  2.9318e-04	  1.3780e-04	  2.1568e-04	  1.3684e-01	  1.8591e+01	  5.8599e+00	  9.3994e-01	  1.9816e-05	  1.0482e-03	  9.9693e-01	  9.8815e-01	
