        Time	          P1	          P2	           M	          Q1	          Q2	          D1	          D2	           B	         EP1	         EP2	          EM	          IC	         Tot	          pH	         fpH	       CO2aq	          O2	       fsalt	        frdx	
  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  6.0800e+00	  9.9089e-01	  2.3807e-05	  2.5531e-03	  1.0000e+00	  9.9917e-01	
  2.4000e+01	  4.0878e+00	  1.9413e+00	  1.0102e+01	  5.5417e-02	  1.1526e+00	  2.0887e-01	  3.6911e-01	  5.7595e-01	  2.7810e-04	  1.3453e-04	  2.0631e-04	  1.0543e-01	  1.8473e+01	  5.9831e+00	  9.7409e-01	  1.7779e-05	  2.5205e-03	  9.9997e-01	  9.9907e-01	
  4.8000e+01	  4.0881e+00	  1.9404e+00	  1.0103e+01	  5.5485e-02	  1.1535e+00	  2.0830e-01	  3.6972e-01	  5.7729e-01	  2.7846e-04	  1.3464e-04	  2.0654e-04	  1.0655e-01	  1.8475e+01	  5.9591e+00	  9.6853e-01	  1.8101e-05	  2.3483e-03	  9.9988e-01	  9.9850e-01	
  7.2000e+01	  4.0883e+00	  1.9396e+00	  1.0104e+01	  5.5499e-02	  1.1543e+00	  2.0780e-01	  3.7035e-01	  5.7862e-01	  2.7883e-04	  1.3475e-04	  2.0679e-04	  1.0767e-01	  1.8478e+01	  5.9483e+00	  9.6587e-01	  1.8466e-05	  2.1805e-03	  9.9974e-01	  9.9785e-01	
  9.6000e+01	  4.0886e+00	  1.9388e+00	  1.0105e+01	  5.5484e-02	  1.1551e+00	  2.0733e-01	  3.7098e-01	  5.7995e-01	  2.7920e-04	  1.3487e-04	  2.0703e-04	  1.0879e-01	  1.8481e+01	  5.9428e+00	  9.6445e-01	  1.8847e-05	  2.0165e-03	  9.9954e-01	  9.9711e-01	
  1.2000e+02	  4.0889e+00	  1.9379e+00	  1.0106e+01	  5.5452e-02	  1.1559e+00	  2.0689e-01	  3.7161e-01	  5.8127e-01	  2.7959e-04	  1.3500e-04	  2.0729e-04	  1.0991e-01	  1.8484e+01	  5.9398e+00	  9.6368e-01	  1.9234e-05	  1.8561e-03	  9.9929e-01	  9.9626e-01	
  1.4400e+02	  4.0891e+00	  1.9371e+00	  1.0107e+01	  5.5412e-02	  1.1567e+00	  2.0645e-01	  3.7226e-01	  5.8259e-01	  2.7998e-04	  1.3512e-04	  2.0755e-04	  1.1103e-01	  1.8486e+01	  5.9383e+00	  9.6329e-01	  1.9624e-05	  1.6993e-03	  9.9898e-01	  9.9529e-01	
  1.6800e+02	  4.0894e+00	  1.9363e+00	  1.0108e+01	  5.5367e-02	  1.1575e+00	  2.0603e-01	  3.7291e-01	  5.8390e-01	  2.8038e-04	  1.3525e-04	  2.0781e-04	  1.1215e-01	  1.8489e+01	  5.9377e+00	  9.6313e-01	  2.0017e-05	  1.5459e-03	  9.9862e-01	  9.9414e-01	
  1.9200e+02	  4.0896e+00	  1.9354e+00	  1.0109e+01	  5.5320e-02	  1.1583e+00	  2.0561e-01	  3.7356e-01	  5.8521e-01	  2.8079e-04	  1.3538e-04	  2.0808e-04	  1.1326e-01	  1.8492e+01	  5.9378e+00	  9.6314e-01	  2.0410e-05	  1.3959e-03	  9.9820e-01	  9.9278e-01	
  2.1600e+02	  4.0899e+00	  1.9346e+00	  1.0110e+01	  5.5271e-02	  1.1591e+00	  2.0519e-01	  3.7422e-01	  5.8652e-01	  2.8120e-04	  1.3552e-04	  2.0836e-04	  1.1438e-01	  1.8494e+01	  5.9382e+00	  9.6326e-01	  2.0804e-05	  1.2493e-03	  9.9772e-01	  9.9113e-01	
  2.4000e+02	  4.0902e+00	  1.9338e+00	  1.0111e+01	  5.5222e-02	  1.1599e+00	  2.0478e-01	  3.7488e-01	  5.8782e-01	  2.8162e-04	  1.3566e-04	  2.0864e-04	  1.1550e-01	  1.8497e+01	  5.9389e+00	  9.6345e-01	  2.1199e-05	  1.1061e-03	  9.9718e-01	  9.8912e-01	
