        Time	          P1	          P2	           M	          Q1	          Q2	          D1	          D2	           B	         EP1	         EP2	          EM	          IC	         Tot	          pH	         fpH	       CO2aq	          O2	       fsalt	        frdx	
  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  6.2400e+00	  9.9792e-01	  2.8411e-05	  2.5532e-03	  1.0000e+00	  9.9917e-01	
  2.4000e+01	  4.0236e+00	  2.0007e+00	  1.0010e+01	  4.8484e-02	  1.0465e+00	  1.5866e-01	  2.9287e-01	  5.1654e-01	  1.3939e-04	  7.1916e-05	  1.0563e-04	  2.1727e-02	  1.8097e+01	  6.1676e+00	  9.9798e-01	  2.2057e-05	  2.5617e-03	  9.9998e-01	  9.9920e-01	
  4.8000e+01	  4.0241e+00	  2.0005e+00	  1.0010e+01	  4.8582e-02	  1.0479e+00	  1.5840e-01	  2.9280e-01	  5.1747e-01	  1.4223e-04	  7.3264e-05	  1.0773e-04	  2.2594e-02	  1.8100e+01	  6.1462e+00	  9.9697e-01	  2.2300e-05	  2.4276e-03	  9.9993e-01	  9.9877e-01	
  7.2000e+01	  4.0247e+00	  2.0002e+00	  1.0011e+01	  4.8631e-02	  1.0492e+00	  1.5821e-01	  2.9280e-01	  5.1840e-01	  1.4501e-04	  7.4585e-05	  1.0978e-04	  2.3461e-02	  1.8103e+01	  6.1360e+00	  9.9633e-01	  2.2596e-05	  2.2959e-03	  9.9984e-01	  9.9830e-01	
  9.6000e+01	  4.0252e+00	  1.9999e+00	  1.0011e+01	  4.8651e-02	  1.0505e+00	  1.5805e-01	  2.9285e-01	  5.1933e-01	  1.4774e-04	  7.5880e-05	  1.1179e-04	  2.4328e-02	  1.8106e+01	  6.1305e+00	  9.9593e-01	  2.2913e-05	  2.1664e-03	  9.9972e-01	  9.9779e-01	
  1.2000e+02	  4.0257e+00	  1.9996e+00	  1.0012e+01	  4.8655e-02	  1.0518e+00	  1.5791e-01	  2.9295e-01	  5.2026e-01	  1.5041e-04	  7.7149e-05	  1.1376e-04	  2.5196e-02	  1.8109e+01	  6.1274e+00	  9.9570e-01	  2.3239e-05	  2.0391e-03	  9.9957e-01	  9.9722e-01	
  1.4400e+02	  4.0263e+00	  1.9993e+00	  1.0012e+01	  4.8650e-02	  1.0530e+00	  1.5779e-01	  2.9310e-01	  5.2119e-01	  1.5303e-04	  7.8393e-05	  1.1569e-04	  2.6063e-02	  1.8112e+01	  6.1257e+00	  9.9556e-01	  2.3570e-05	  1.9139e-03	  9.9939e-01	  9.9659e-01	
  1.6800e+02	  4.0268e+00	  1.9990e+00	  1.0013e+01	  4.8639e-02	  1.0542e+00	  1.5768e-01	  2.9329e-01	  5.2211e-01	  1.5560e-04	  7.9612e-05	  1.1759e-04	  2.6932e-02	  1.8115e+01	  6.1248e+00	  9.9549e-01	  2.3905e-05	  1.7907e-03	  9.9917e-01	  9.9588e-01	
  1.9200e+02	  4.0273e+00	  1.9986e+00	  1.0014e+01	  4.8627e-02	  1.0553e+00	  1.5757e-01	  2.9351e-01	  5.2304e-01	  1.5812e-04	  8.0807e-05	  1.1945e-04	  2.7801e-02	  1.8118e+01	  6.1245e+00	  9.9547e-01	  2.4242e-05	  1.6697e-03	  9.9892e-01	  9.9508e-01	
  2.1600e+02	  4.0278e+00	  1.9983e+00	  1.0014e+01	  4.8613e-02	  1.0564e+00	  1.5747e-01	  2.9377e-01	  5.2396e-01	  1.6060e-04	  8.1978e-05	  1.2127e-04	  2.8671e-02	  1.8121e+01	  6.1247e+00	  9.9548e-01	  2.4579e-05	  1.5506e-03	  9.9863e-01	  9.9418e-01	
  2.4000e+02	  4.0283e+00	  1.9979e+00	  1.0015e+01	  4.8598e-02	  1.0575e+00	  1.5738e-01	  2.9407e-01	  5.2488e-01	  1.6302e-04	  8.3127e-05	  1.2306e-04	  2.9541e-02	  1.8124e+01	  6.1251e+00	  9.9552e-01	  2.4918e-05	  1.4336e-03	  9.9831e-01	  9.9314e-01	
  2.6400e+02	  4.0288e+00	  1.9975e+00	  1.0015e+01	  4.8584e-02	  1.0586e+00	  1.5729e-01	  2.9439e-01	  5.2581e-01	  1.6540e-04	  8.4253e-05	  1.2481e-04	  3.0411e-02	  1.8127e+01	  6.1257e+00	  9.9557e-01	  2.5257e-05	  1.3186e-03	  9.9795e-01	  9.9195e-01	
